text,label
Here is the agenda for today: https://make.wordpress.org/accessibility/2020/02/28/accessibility-team-meeting-agenda-february-28-2020/,1
"(on 
 and a terrible connection)",1
Next up: Accessibility team goals for WP 5.5,1
"well, I’ll summarize that in the meeting recap",1
Next item?,1
Update on WP Accessibility Day,1
@joedolson,1
"It's moving forward. Goal is to announce on March 25th; there's a design in the works, so we're on target.",1
The website is currently under construction,1
"Next meeting will be on Tuesday, 3 March; if anybody still needs to vote on the time, do it today!",1
In #accessibility-events,1
"Not much else to report right now - we've got a budget mostly worked out, looking for sponsors to cover the captioning & transcription costs, etc.",1
do we have any Gutenberg issue/pull request to discuss? (edited),1
"If not, we can directly open the floor",1
"I believe that #49517 needs some discussion with the editor team, although I think it's a very clear cut issue from the a11y side.",1
If @ella is still around?,1
"If not, then I don't think there's anything to discuss here.",1
"Alright, let’s close our weekly meeting!",1
</meeting>,1
"@here Ok, let’s get started then. Who is around?
Today we’ll be following the proposed agenda here: https://make.wordpress.org/accessibility/2020/02/20/accessibility-team-meeting-agenda-february-21-2020/",1
"Ok, topic numero uno:
Discussion on the Navigation Menu block testing.",1
A few weeks ago we started doing a11y testing on a new navigation block in Gutenberg. We added our results and feedback here: https://docs.google.com/spreadsheets/u/1/d/1yFCFlPK78Ryl7WT9iRhn4Xe0PpWvnzAKSzBLi6L8GHY/edit?usp=sharing,1
"Going over the results, I think consensus was that keyboard navigation was dificult",1
and it looks like the block’s release was postponed due to it not being ready for prime time: https://make.wordpress.org/core/2020/02/07/navigation-block-exclusion-from-wp-5-4/,1
"while the reason to postpone it was not our tests, I think this works out well timing wise. The team working on it will have enough time to go over our results and review those issues.
Anyone has anything else to add?",1
"Correct, @jeryj. We postponed it because while it is usable... it wasn't yet useful without proper Header/Footer areas to put it in.",1
I want to thank everyone for testing this out!,1
"Ok, thanks again to everyone who was able to help!",1
Thanks for those that dove into this.,1
